Rank	Player	Team	Position	ADP	Min_Pick	Max_Pick	Difference	StDev	Draft_Slot	Probability
1	Acuna Jr., Ronald	ATL	OF	1.68	1	6	-0.68	1.25		
2	Tatis Jr., Fernando	SD	SS	3.09	1	6	-1.09	1.25		
3	Soto, Juan	WAS	OF	3.41	1	7	3.59	1.5		
4	Betts, Mookie	LAD	OF	3.55	1	7	0.45	1.5		
5	deGrom, Jacob	NYM	P	5.36	1	10	0.64	2.25		
6	Cole, Gerrit	NYY	P	6.41	3	9	-1.41	1.5		
7	Trout, Mike	LAA	OF	6.55	3	11	-3.55	2		
8	Turner, Trea	WAS	SS	6.91	3	10	1.09	1.75		
9	Bieber, Shane	CLE	P	9.09	6	12	-0.09	1.5		
10	Ramirez, Jose	CLE	3B	10.91	7	15	3.09	2		
11	Yelich, Christian	MLW	OF	11.82	7	17	-0.82	2.5		
12	Freeman, Freddie	ATL	1B	12.68	9	18	5.32	2.25		
13	Story, Trevor	COL	SS	13.77	7	20	-1.77	3.25		
14	Bauer, Trevor	LAD	P	14.41	10	22	-4.41	3		
15	Darvish, Yu	SD	P	15.27	10	21	1.73	2.75		
16	Bellinger, Cody	LAD	1B, OF	17.23	13	24	4.77	2.75		
17	Buehler, Walker	LAD	P	17.36	13	22	-4.36	2.25		
18	Giolito, Lucas	CWS	P	18.68	12	29	-2.68	4.25		
19	Mondesi, Adalberto	KC	SS	18.82	13	24	-3.82	2.75		
20	Lindor, Francisco	NYM	SS	20.09	14	29	0.91	3.75		
21	Machado, Manny	SD	3B	20.41	13	26	2.59	3.25		
22	Harper, Bryce	PHI	OF	20.59	14	26	3.41	3		
23	Nola, Aaron	PHI	P	22.68	17	30	-3.68	3.25		
24	Bichette, Bo	TOR	SS	25.41	16	34	1.59	4.5		
25	Castillo, Luis	CIN	P	27.36	19	34	3.64	3.75		
26	Scherzer, Max	WAS	P	27.59	21	40	2.41	4.75		
27	Flaherty, Jack	STL	P	28.41	18	41	-3.41	5.75		
28	Tucker, Kyle	HOU	OF	30.5	23	47	2.5	6		
29	LeMahieu, DJ	NYY	1B, 2B, 3B	30.55	21	43	12.45	5.5		
30	Kershaw, Clayton	LAD	P	30.68	25	38	-4.68	3.25		
31	Jimenez, Eloy	CWS	OF	31.14	24	41	2.86	4.25		
